"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
1,"Queen","Bohemian Rhapsody",1975,1,"top40",887.85,169.88
2,"Eagles","Hotel California",1977,8,"top40",930.5,265.54
3,"Led Zeppelin","Stairway To Heaven",1971,0,"",784.02,145.53
4,"Billy Joel","Piano Man",1974,0,"",859.17,281.43
5,"Deep Purple","Child In Time",1972,9,"top40",815.22,302.71
6,"Boudewijn de Groot","Avond",1997,5,"tip",1431.7,196.4
7,"David Bowie","Heroes",1977,8,"top40",935.93,374.92
8,"Claudia de Breij","Mag Ik Dan Bij Jou",2011,29,"top40",1771.79,307.04
9,"Pink Floyd","Wish You Were Here",1975,0,"",889.49,342.36
10,"Pearl Jam","Black",1991,0,"",1281.8,312.12
11,"Coldplay","Fix You",2005,3,"tip",1630.78,267.28
12,"John Lennon","Imagine",1971,5,"top40",785.42,357.28
13,"Prince & The Revolution","Purple Rain",1984,1,"top40",1106.33,316.26
14,"Bruce Springsteen","The River",1981,12,"top40",1040.88,315.32
15,"Metallica","Nothing Else Matters",1992,5,"top40",1324.26,345.69
16,"Pink Floyd","Comfortably Numb",1979,0,"",999.25,144.47
17,"Guns N' Roses","November Rain",1992,4,"top40",1320.26,202.68
18,"The Beach Boys","God Only Knows",1966,11,"top40",639.6,209.81
19,"Dire Straits","Brothers In Arms",1985,0,"",1148.18,143.03
20,"Pink Floyd","Shine On You Crazy Diamond",1975,0,"",894.28,396.72
21,"AC/DC","Thunderstruck",1990,6,"top40",1249.54,161.9
22,"Golden Earring","Radar Love",1973,1,"top40",835.71,195.25
23,"Simon & Garfunkel","The Sound Of Silence",1966,10,"top40",644.83,340.57
24,"Racoon","Oceaan",2012,6,"top40",1799.63,185.75
25,"Metallica","One",1994,3,"top40",1366.95,294.01
26,"Dire Straits","Sultans Of Swing",1978,10,"top40",973.24,173.41
27,"Meat Loaf","Paradise By The Dashboard Light",1978,1,"top40",947.75,122.44
28,"Johnny Cash","Hurt",2003,0,"",1582,243.23
29,"Leonard Cohen","Hallelujah",1984,0,"",1110.69,193.71
30,"Toto","Africa",1982,2,"top40",1066.38,365.37
31,"U2","One",1992,11,"top40",1324.04,152.33
32,"Nirvana","Smells Like Teen Spirit",1991,3,"top40",1287.86,182.86
33,"Coldplay","Viva La Vida",2009,1,"top40",1724.37,313.5
34,"Pearl Jam","Just Breathe",2009,14,"top40",1724.4,165.94
35,"Queen","Innuendo",1991,4,"top40",1268.22,375.99
36,"Coldplay","Clocks",2003,2,"top40",1576.01,179.94
37,"The Alan Parsons Project","Old And Wise",1982,19,"top40",1065.89,217.75
38,"David Bowie","Space Oddity",1969,4,"top40",731.04,342.49
39,"The Beatles","Hey Jude",1968,1,"top40",694.87,230.36
40,"The Cure","A Forest",1980,31,"top40",1014.99,341.95
41,"Coldplay","The Scientist",2002,4,"tip",1550.99,273.56
42,"Guus Meeuwis","Brabant",2004,8,"tip",1601.06,215.32
43,"Fleetwood Mac","Go Your Own Way",1977,1,"top40",946.59,415.46
44,"Pearl Jam","Alive",1992,13,"top40",1339.23,274.67
45,"Amy Winehouse","Back To Black",2006,18,"top40",1652.63,300.72
46,"The Doors","Riders On The Storm",1971,7,"top40",774.09,405.02
47,"Adele","Someone Like You",2011,3,"top40",1772.38,166.04
48,"Supertramp","School",1974,33,"top40",862.15,103.82
49,"U2","Sunday Bloody Sunday",1985,3,"top40",1147.9,249.94
50,"Red Hot Chili Peppers","Under The Bridge",1992,1,"top40",1314.02,122.06
51,"Guns N' Roses","Sweet Child O' Mine",1988,24,"top40",1214.15,361.78
52,"Simon & Garfunkel","Bridge Over Troubled Water",1970,5,"top40",759.46,293.85
53,"Dire Straits","Telegraph Road",1982,0,"",1060.58,133.49
54,"Phil Collins","In The Air Tonight",1981,1,"top40",1042.32,386.09
55,"Wim Sonneveld","Het Dorp",1974,27,"top40",851.7,151.44
56,"Otis Redding","(Sittin' On) The Dock Of The Bay",1968,6,"top40",697.77,341.23
57,"Paolo Nutini","Iron Sky",2014,30,"top40",1843.98,188.32
58,"Queen","Somebody To Love",1976,1,"top40",910.61,105.83
59,"U2","With Or Without You",1987,2,"top40",1192.02,277.86
60,"The Rolling Stones","Sympathy For The Devil",1973,14,"top40",838.96,374.19
61,"The Rolling Stones","Paint It Black",1966,1,"top40",653.38,288.27
62,"Metallica","Enter Sandman",1991,12,"top40",1293.45,392.9
63,"Acda En De Munnik","Het Regent Zonnestralen",1998,3,"tip",1457.22,239.42
64,"Queen","Love Of My Life",1975,0,"",879.4,249.03
65,"AC/DC","Highway To Hell",1979,27,"top40",1000.04,384.76
66,"Pink Floyd","Another Brick In The Wall",1979,3,"top40",992.69,93.37
67,"Dire Straits","Private Investigations",1982,1,"top40",1067.93,396.2
68,"The Beatles","Let It Be",1970,1,"top40",755.04,107.85
69,"Ramses Shaffy & Liesbeth List","Pastorale",1969,3,"top40",716.99,305.8
70,"Rage Against The Machine","Killing In The Name Of",1992,16,"top40",1303.88,275.16
71,"The Animals","The House Of The Rising Sun",1964,0,"",598.22,246.99
72,"Adele","Hello",2015,1,"top40",1902.14,235.43
73,"AC/DC","Whole Lotta Rosie",1978,3,"top40",968.55,308.96
74,"Robbie Williams","Angels",1998,14,"top40",1461.33,174.6
75,"Radiohead","Creep",1993,17,"top40",1342.12,235.95
76,"Snow Patrol","Chasing Cars",2006,24,"top40",1653.2,195.7
77,"Billy Joel","Goodnight Saigon",1983,1,"top40",1081.24,256.46
78,"The Rolling Stones","Angie",1973,1,"top40",838.24,400.63
79,"Electric Light Orchestra","Mr. Blue Sky",1978,11,"top40",949.78,91.77
80,"R.E.M.","Losing My Religion",1991,1,"top40",1296.33,366.84
81,"Klein Orkest","Over De Muur",1984,10,"top40",1106.31,253.96
82,"Dotan","Home",2014,2,"top40",1862.44,311.82
83,"Eric Clapton","Tears In Heaven",1992,17,"top40",1318.41,378.52
84,"Adele","Make You Feel My Love",2008,3,"top40",1699.34,328.92
85,"The Verve","Bitter Sweet Symphony",1997,11,"top40",1443.26,343.29
86,"Queen","Who Wants To Live Forever",1986,7,"top40",1170.29,216.69
87,"Queen & David Bowie","Under Pressure",1981,1,"top40",1042.79,172.37
88,"Marco Borsato","Dochters",2008,1,"top40",1691.39,257.04
89,"Foo Fighters","The Pretender",2007,0,"",1675.6,206.87
90,"Queen","Don't Stop Me Now",1979,14,"top40",967.7,224.4
91,"Jeff Buckley","Hallelujah",1994,0,"",1373.14,330.48
92,"The Scene","Iedereen Is Van De Wereld",1991,24,"top40",1291.91,136.49
93,"Van Dik Hout","Stil In Mij",1994,23,"top40",1359.71,352.66
94,"Bette Midler","The Rose",1980,0,"",1026.88,127.57
95,"Supertramp","Fool's Overture",1977,0,"",937.32,184.24
96,"The Beatles","Blackbird",1968,0,"",696.95,370.29
97,"The Beatles","Yesterday",1965,1,"top40",617.14,180.95
98,"Simple Minds","Belfast Child",1989,1,"top40",1229.91,311.38
99,"The Rolling Stones","Gimme Shelter",1969,0,"",723.78,219.36
100,"Bob Dylan","Hurricane",1975,0,"",863.29,400
101,"Adele","Rolling In The Deep",2010,1,"top40",1752.91,188.77
102,"Sting","Fragile",1988,10,"top40",1219.53,199.9
103,"Eagles","Desperado",1973,0,"",834.78,105.66
104,"The Beatles","Here Comes The Sun",1969,0,"",728.45,124.76
105,"Oasis","Wonderwall",1995,9,"top40",1395.91,286.87
106,"Elvis Presley","Suspicious Minds",1969,6,"top40",724.84,270.68
107,"Falco","Jeanny",1985,1,"top40",1151.77,358.11
108,"Eagles","The Last Resort",1976,0,"",909.56,80.68
109,"Metallica","Master Of Puppets",1986,0,"",1166.55,322.97
110,"Leonard Cohen","Suzanne",1968,0,"",693.47,132.26
111,"Coldplay","Yellow",2000,11,"tip",1511.3,159.86
112,"U2","Where The Streets Have No Name",1987,10,"top40",1187.81,343.32
113,"Black Sabbath","Paranoid",1970,2,"top40",749.04,195.06
114,"Red Hot Chili Peppers","Californication",2000,9,"top40",1499.18,326
115,"Golden Earring","When The Lady Smiles",1984,1,"top40",1101.57,145.5
116,"Stef Bos","Papa",1991,8,"top40",1285.97,345.44
117,"Adele","Skyfall",2012,1,"top40",1808.73,256.28
118,"Kate Bush","Wuthering Heights",1978,4,"top40",975.32,345.68
119,"Procol Harum","A Whiter Shade Of Pale",1967,1,"top40",680.93,164.86
120,"Kensington","War",2014,7,"top40",1854.13,253.58
121,"Lou Reed","Perfect Day",1972,0,"",817.48,132.13
122,"The Moody Blues","Nights In White Satin",1968,2,"top40",697.94,260.28
123,"Michael Jackson","Billie Jean",1983,2,"top40",1089.44,124.78
124,"Led Zeppelin","Whole Lotta Love",1969,4,"top40",728.09,158.23
125,"Ed Sheeran","Thinking Out Loud",2014,1,"top40",1855.09,346.37
126,"Ramses Shaffy","Laat Me",1978,5,"tip",969.87,103.8
127,"U2","The Unforgettable Fire",1985,8,"top40",1144.53,396.59
128,"Muse","Uprising",2009,22,"top40",1732.03,211.67
129,"Depeche Mode","Enjoy The Silence",1990,8,"top40",1247.31,129.11
130,"Deep Purple","Smoke On The Water",1973,12,"top40",827.83,158.26
131,"ABBA","Dancing Queen",1976,1,"top40",910.41,199.88
132,"Kyteman","Sorry",2009,17,"top40",1718.59,270.36
133,"Racoon","Love You More",2005,3,"top40",1629.37,327.21
134,"Simon & Garfunkel","The Boxer",1969,3,"top40",734.94,290.1
135,"Muse","Knights Of Cydonia",2006,0,"",1650.72,326.49
136,"Herman Brood","Saturday Night",1978,23,"top40",972.08,383.11
137,"The White Stripes","Seven Nation Army",2003,22,"top40",1579.97,308.28
138,"Michael Jackson","Man In The Mirror",1988,16,"top40",1223.65,282.42
139,"Jackson Browne","The Load Out / Stay",1977,0,"",931.52,146.08
140,"R.E.M.","Everybody Hurts",1993,4,"top40",1350.9,159.83
141,"Bruce Springsteen","Born To Run",1975,0,"",886.34,132.92
142,"U2","I Still Haven't Found What I'm Looking For",1987,6,"top40",1201.72,135.84
143,"Stromae","Formidable",2013,4,"top40",1829.83,331.13
144,"Adele","When We Were Young",2015,14,"top40",1888.11,175.85
145,"Radiohead","Street Spirit",1995,28,"top40",1388.01,313.82
146,"The Amazing Stroopwafels","Oude Maasweg",1982,10,"tip",1068.6,285.93
147,"Earth Wind & Fire","September",1979,18,"top40",990.91,217.39
148,"Creedence Clearwater Revival","I Put A Spell On You",1972,3,"top40",818.65,387.06
149,"Michael Jackson","Earth Song",1995,4,"top40",1392.56,227.63
150,"Bryan Adams","Summer Of '69",1984,5,"top40",1114.39,404.97
151,"Frans Halsema","Voor Haar",1977,0,"",921.67,408.77
152,"Kensington","Streets",2014,22,"top40",1851.14,224.93
153,"Eminem","Lose Yourself",2002,1,"top40",1559.11,307.24
154,"Dolly Parton","Jolene",1974,14,"tip",857.24,348.94
155,"Pearl Jam","Jeremy",1991,10,"tip",1277.97,153.66
156,"Motörhead","Ace Of Spades",1980,0,"",1023.79,190.57
157,"Linkin Park","In The End",2001,5,"top40",1532.37,209.11
158,"Bruce Springsteen","Streets Of Philadelphia",1994,6,"top40",1367.3,147.15
159,"Pharrel Williams","Happy",2013,1,"top40",1818.03,287.45
160,"Rammstein","Du Hast",1997,0,"",1439.9,150.14
161,"Sting","Fields Of Gold",1993,0,"",1338.5,318.1
162,"David Bowie","Let's Dance",1983,1,"top40",1078.61,156.79
163,"Ramses Shaffy","Zing Vecht Huil Bid Lach Werk En Bewonder",1971,21,"top40",793.57,205.94
164,"Aerosmith","Dream On",1973,12,"top40",840.13,338.34
165,"ABBA","The Winner Takes It All",1980,1,"top40",1027.03,105.74
166,"Kings Of Leon","Sex On Fire",2008,29,"top40",1701.8,180.57
167,"Maaike Ouboter","Dat Ik Je Mis",2013,2,"top40",1828.96,310.7
168,"Foo Fighters","Everlong",1997,0,"",1420.23,154.21
169,"Charles Aznavour","She",1974,18,"top40",866.06,132.25
170,"John Miles","Music",1976,2,"top40",911.54,142.34
171,"Queen","The Show Must Go On",1991,7,"top40",1296.74,251.33
172,"Frank Boeijen","Zeg Me Dat Het Niet Zo Is",1990,34,"top40",1247.31,359.33
173,"Nirvana","Come As You Are",1991,14,"top40",1275.59,122.12
174,"Jacques Brel","Ne Me Quitte Pas",1965,0,"",612.63,296.5
175,"Paul Simon","Graceland",1987,0,"",1187.02,202.59
176,"Michael Jackson","Thriller",1983,3,"top40",1090.23,226.56
177,"Leonard Cohen","So Long Marianne",1968,0,"",701.73,167.6
178,"A-Ha","Take On Me",1985,1,"top40",1136.03,115.67
179,"Jimi Hendrix Experience","All Along The Watchtower",1968,10,"top40",688.75,200.55
180,"Anouk","Nobody's Wife",1997,2,"top40",1435.42,231.5
181,"Adele","Set Fire To The Rain",2011,1,"top40",1789.89,247.81
182,"David Bowie","Life On Mars",1971,0,"",801.71,402.7
183,"Elbow","One Day Like This",2008,0,"",1700.11,229.15
184,"U2","Beautiful Day",2000,1,"top40",1508.73,180.55
185,"Muse","Psycho",2015,0,"",1890.95,330.32
186,"The Scene","Blauw",1991,14,"top40",1264.83,211.46
187,"Rammstein","Sonne",2001,30,"top40",1533.85,172.23
188,"U2","Bad",1984,0,"",1121.69,102.71
189,"Iron Maiden","Fear Of The Dark",1993,0,"",1348,139.98
190,"Slayer","Angel Of Death",1986,0,"",1169.51,122.77
191,"Marillion","Kayleigh",1985,16,"top40",1143.43,333.09
192,"3 Doors Down","Kryptonite",2000,17,"top40",1515.95,198.35
193,"Dire Straits","Money For Nothing",1985,4,"tip",1147.65,199.97
194,"Ed Sheeran","I See Fire",2014,13,"top40",1863.88,175.82
195,"Eddie Vedder","Society",2007,0,"",1680.15,284.01
196,"Santana","Samba Pa Ti",1970,11,"top40",750.72,397.97
197,"John Legend","All Of Me",2013,1,"top40",1833.99,167.1
198,"Hozier","Take Me To Church",2014,2,"top40",1874.12,248.22
199,"Gary Moore","Still Got The Blues",1990,2,"top40",1250.11,306.01
200,"Bon Jovi","Bed Of Roses",1993,14,"top40",1348.39,212.61
201,"Guns N' Roses","Paradise City",1989,4,"top40",1228.34,181.13
202,"Live","Lightning Crashes",1995,13,"tip",1393.82,152.58
203,"André Hazes","Bloed, Zweet En Tranen",2002,0,"",1557.28,329.19
204,"Passenger","Let Her Go",2012,1,"top40",1801.66,347.47
205,"Neil Young","Heart Of Gold",1972,9,"top40",811.69,112.85
206,"Radiohead","Karma Police",1997,33,"top40",1435.92,321.03
207,"Prince","When Doves Cry",1984,5,"top40",1112.41,122.42
208,"Tracy Chapman","Fast Car",1988,1,"top40",1219.96,128.45
209,"Journey","Don't Stop Believin'",1981,14,"tip",1048.5,345.63
210,"Radiohead","Paranoid Android",1997,5,"tip",1426.06,299.88
211,"André Hazes","Kleine Jongen",1990,17,"top40",1265.9,138.53
212,"Creedence Clearwater Revival","Have You Ever Seen The Rain",1971,6,"top40",768.99,192.51
213,"Bob Marley & The Wailers","Redemption Song",1980,0,"",1011.94,403.92
214,"Simple Minds","Don't You (Forget About Me)",1985,1,"top40",1136.58,169.54
215,"Pink Floyd","Echoes",1971,0,"",773.88,90.73
216,"Mark & Clark Band","Worn Down Piano",1977,8,"top40",917.52,327.81
217,"The Beach Boys","Good Vibrations",1966,4,"top40",635.14,301.93
218,"The Beatles","While My Guitar Gently Weeps",1968,0,"",704.98,111.75
219,"The Who","Baba O'Riley",1971,13,"top40",795.61,104.24
220,"Coldplay","A Sky Full Of Stars",2014,6,"top40",1848.78,156.16
221,"Alicia Keys","Empire State Of Mind",2009,8,"top40",1719.38,230.02
222,"The Cranberries","Zombie",1994,2,"top40",1373.05,210.24
223,"Bob Marley & The Wailers","No Woman No Cry",1975,25,"top40",892.37,92.1
224,"Queen","I Want To Break Free",1984,1,"top40",1127.37,343.85
225,"Genesis","Mama",1983,7,"top40",1087.6,288.69
226,"Faithless","Insomnia",1995,12,"top40",1388.92,170.09
227,"Kensington","Riddles",2015,23,"top40",1882.57,210.45
228,"Boston","More Than A Feeling",1977,11,"top40",929.14,85.45
229,"The Doors","The End",1967,0,"",661.39,167.99
230,"David Bowie","Rebel Rebel",1974,12,"top40",870.74,215.66
231,"Golden Earring","Another 45 Miles",1969,25,"top40",721.21,407.86
232,"Jason Paige","Gotta Catch 'Em All",1997,0,"",1441.58,273.34
233,"The Police","Roxanne",1979,21,"top40",974.63,122.83
234,"Chef'Special","In Your Arms",2014,20,"top40",1870.05,222.83
235,"Kansas","Dust In The Wind",1978,19,"top40",994.35,296.49
236,"U2 & Mary J. Blige","One (2005)",2007,2,"top40",1674.62,178.81
237,"System Of A Down","Chop Suey!",2001,22,"top40",1525.4,307.14
238,"Queens Of The Stone Age","No One Knows",2002,39,"top40",1550.45,203.82
239,"Kate Bush","The Man With The Child In His Eyes",1978,27,"top40",948.84,337.01
